date,text,place,latitude,longitude
1817-08-23,An earthquake near the site of the ancient Greek city of Helike results in 65 deaths.,,,
1817-10-17,The frigate HMS Trincomalee is launched in Bombay for the British Royal Navy . She will still be afloat two centuries later.,Bombay for the British Royal Navy,,
1817-11-05,Third Anglo-Maratha War breaks out with the Battle of Khadki .,Khadki,,
1817-11-20,The first Seminole War begins in Florida .,Florida,,
1818-01-06,"The Treaty of Mandeswar brings an end to the Third Anglo-Maratha War , ending the dominance of Marathas , and enhancing the power of the British East India Company , which controls territory occupied by 180 million Indians .",British East India Company,,
1818-03-15,First Seminole War : General Andrew Jackson and his American army invade Florida .,,,
1818-04-01,"First Seminole War – Battle of Miccosukee, Florida : General Andrew Jackson defeats chief Kinhagee.",Miccosukee,,
1818-04-05,"Chilean War of Independence – Battle of Maipú : Patriot rebels, led by José de San Martín , decisively defeat the Spanish Royalists .",Independence,,
1818-06-03,"Baji Rao II , Peshwa of the Maratha Confederacy , surrenders to Sir John Malcolm of the British East India Company , bringing an end to the Third Anglo-Maratha War and giving the company control of almost all of modern-day India .",Maratha Confederacy,,
1818-07-01,"After a war that began on November 5 , 1817 , the forces of the East India Company defeat Baji Rao II in battle and acquire control over the Maratha Empire .",East India Company defeat Baji Rao II in battle and acquire control over the Maratha Empire,,
1818-08-01,A separate Topographical Bureau of the United States Department of War is established.,United States Department of War is established,,
1819-02-02,"Dartmouth College v. Woodward : The Supreme Court of the United States under John Marshall rules in favor of Dartmouth College , allowing Dartmouth to keep its charter and remain a private institution.",United States under John Marshall rules in favor of Dartmouth College,,
1819-06-16,"The Rann of Kutch earthquake , estimated at at least 7.7 M w kills at least 1,543 people in India in what is now the state of Gujarat at the Arabian Sea , causing an 80–150 km (50–93 mi) stretch of land to be raised as much as 6 m (20 ft) and creating a natural dam, the Allahbund.",India in what is now the state of Gujarat at the Arabian Sea,,
1819-07-30,"At Edwardsville, Illinois , the United States concludes a treaty with the Kickapoo tribe , receiving their lands in return for their relocation to Missouri.",,,
1819-08-07,Battle of Boyacá : Simón Bolívar is victorious over the Royalist Army in Colombia . Colombia acquires its definitive independence from Spanish rule .,Colombia,,
1819-08-16,"Peterloo Massacre : A yeomanry unit charges into a crowd of radical protesters in Manchester , England, resulting in 15 deaths and over 600 injuries.",Manchester,,
1819-11-03,"The USS Congress , commanded by Captain John D. Henley , becomes the first American warship to visit China , landing at Lintin Island , off of the coast of Canton .",Lintin Island,,
1819-11-25,"A British expeditionary force reaches Ras Al Khaimah in the Persian Gulf , preparatory to the bombardment and invasion of the town, which led to the signing of the General Maritime Treaty of 1820 between the British and what were to become known as the Trucial States .",Persian Gulf,,
1820-01-30,"British Royal Navy captain Edward Bransfield , an Irishman, becomes the first person to positively identify Antarctica as a land mass.",,,
1820-02-23,"The Cato Street Conspiracy , a plot to assassinate Britain's Prime Minister, Lord Liverpool , and his Cabinet is thwarted when police in London arrest 13 plotters after being warned by an informant.",London arrest 13 plotters after being warned by an informant,,
1820-03-03,"A fire in Guangzhou in China burns 15,000 houses and kills an undetermined number of people.",Guangzhou in China burns 15,,
1820-04-01,"A proclamation, signed ""By order of the Committee of Organisation for forming a Provisional Government"", begins the "" Radical War "" in Scotland.",Scotland,,
1821-03-07,The Battle of Rieti is fought in Italy between intervening Austrian forces and Neapolitan rebels.,Italy between intervening Austrian forces and Neapolitan rebels,,
1821-05-08,"Greek War of Independence: At the Battle of Gravia Inn , a 120-man Greek force led by Odysseas Androutsos repulses an Ottoman army of 8,000.",Battle of Gravia Inn,,
1821-06-24,Battle of Carabobo : Simón Bolívar wins Venezuela's independence from Spain .,Carabobo,,
1821-08-24,"The Treaty of Córdoba is signed in Córdoba, Veracruz , Mexico, ratifying the Plan of Iguala of February 24 for Mexico's independence from Spain and, although not recognised by the latter, effectively concludes the Mexican War of Independence .",,,
1821-09-27,"The Army of the Three Guarantees enters Mexico City , and the following day the Declaration of Independence of the Mexican Empire from Spain is proclaimed, following the Mexican War of Independence .",Three Guarantees enters Mexico City,,
1821-12-19,The Eyjafjallajökull volcano in Iceland begins to erupt.,Iceland begins to erupt,,
1822-01-14,Greek War of Independence: Acrocorinth is captured by Theodoros Kolokotronis and Demetrios Ypsilantis .,,,
1822-03-31,"Greek War of Independence – Chios massacre : 20,000 Greeks on the island of Chios are slaughtered by Ottoman troops, and 23,000 more are exiled.",Independence,,
1822-05-24,Battle of Pichincha : Simón Bolívar secures the independence of Quito .,Pichincha,,
1822-05-26,Grue Church fire : The biggest fire disaster in Norway's history kills 116 people.,Norway's history kills 116 people,,
1822-06-06,"Alexis St. Martin is accidentally shot in the stomach, which leads the way to William Beaumont 's studies on digestion.",,,
1822-06-18,"Greek War of Independence : Konstantinos Kanaris blows up the Ottoman navy 's flagship at Chios , killing the Kapudan Pasha Nasuhzade Ali Pasha .",Chios,,
1822-07-13,Greek War of Independence : Greek soldiers defeat Ottoman forces at Thermopylae .,Thermopylae,,
1822-08-05,"13 – A sequence of earthquakes occurs in the northern part of the Ottoman Empire , causing severe damage from Gaziantep to Antakya in modern Turkey and from Aleppo to Khan Sheikhun in modern Syria. At least 20,000 people are killed.",Ottoman Empire,,
1822-09-08,"13 – Battle of Nauplia : In a series of naval engagements, the Ottoman Fleet fails to break through the Greek Fleet , under Admiral Andreas Vokos Miaoulis .",Nauplia,,
1822-10-08,"The Galunggung volcano erupts on West Java , and is followed four days later by a second, more violent outburst. The two events kill more than 4,000 people and destroy 114 villages.",,,
1822-10-21,The volcano Mount Vesuvius near Naples erupts.,Naples erupts,,
1822-11-19,"An earthquake near Valparaíso in Chile kills around 200 people, causes a tsunami and raises the coastal area.",Chile kills around 200 people,,
1822-11-22,"A fire in Guangzhou (Canton) kills 500 people, and destroys 13,070 homes and several European-owned businesses.",Guangzhou,,
1823-04-10,Siege of Pamplona begins in Navarre as French troops besiege the city's garrison,Navarre as French troops besiege the city's garrison,,
1823-07-15,The Basilica of Saint Paul Outside the Walls in Rome is almost completely destroyed by fire.,Rome is almost completely destroyed by fire,,
1823-08-31,"Battle of Trocadero : French infantry of the ""Hundred Thousand Sons of Saint Louis"" capture the fort of Trocadero and turn its guns on Cádiz .",Trocadero,,
1823-09-17,Pamplona surrenders to French forces after a five-month siege.,,,
1823-09-23,"First Anglo-Burmese War : Burmese forces attack the British on Shapura, an island close to Chittagong .",,,
1823-11-03,"An explosion at the Rainton Colliery Company's Plain Pit mine at Chilton Moor in the north-east of England, kills at least 57 coal miners.",Rainton Colliery Company's Plain Pit mine at Chilton Moor in the north-east of England,,
1823-12-02,"James Monroe first introduces the Monroe Doctrine in the State of the Union address , declaring that any European attempts to recolonize the Americas would be considered a hostile act towards the United States.",State of the Union address,,
1824-01-21,"First Anglo-Ashanti War : Battle of Nsamankow – forces of the Ashanti Empire crush British forces in the Gold Coast (modern-day Ghana ), killing the British governor Sir Charles MacCarthy .",Gold Coast,,
1824-03-05,"The First Anglo-Burmese War begins in much of what is now Bangladesh , and lasts for almost two years until the a surrender of territories by the Kingdom of Burma on February 24, 1826.",,,
1824-03-11,The United States War Department creates the Bureau of Indian Affairs .,Indian Affairs,,
1824-03-19,American explorer Benjamin Morrell departs Antarctica after a voyage later plagued by claims of fraud.,,,
1824-05-24,"First Anglo-Burmese War : The British take Rangoon , capital of the Kingdom of Burma (now Yangon, Myanmar), in a surprise attack.",Kingdom of Burma,,
1824-08-06,Peruvian War of Independence : Battle of Junín – Pro-independence forces defeat the Spanish in the highlands of the Junín region.,Independence,,
1824-08-07,The First Anglo-Ashanti War ends when forces of the Ashanti Empire flee the field.,Ashanti Empire flee the field,,
1824-10-10,"The Edinburgh Town Council founds the Edinburgh Municipal Fire Brigade, the first fire brigade in Britain, under the leadership of James Braidwood .",Britain,,
1824-12-09,"Peruvian War of Independence : Battle of Ayacucho – Colombian and Peruvian forces led by Antonio José de Sucre defeat the Spanish. The commander, Viceroy de la Serna , surrenders, ending Spain's domination of South America.",Independence,,
1824-12-28,"In Australia, in what is now New South Wales , the Bathurst War comes to an end, with the defeat of the Wiradjuri indigenous nation and the peaceful surrender of their leader, Chief Windradyne , at a feast at Parramatta.",Wiradjuri indigenous nation and the peaceful surrender of their leader,,
1825-02-03,"Vendsyssel-Thy , once part of the Jutland peninsula forming westernmost Denmark, becomes an island after a flood drowns its 1 kilometre (0.62 mi) wide isthmus .",Jutland peninsula forming westernmost Denmark,,
1825-03-01,"The outbound British East Indiaman Kent is destroyed by fire in the Bay of Biscay with the loss of more than 80 lives, but over 550 are saved by passing ships.",Bay of Biscay with the loss of more than 80 lives,,
1825-03-17,The Norfolk & Dedham Group is founded as The Norfolk Mutual Fire Insurance Company in the United States.,United States,,
1825-06-15,"A rebellion is started by 200 slaves in the Guamacaro region of Cuba, and is suppressed after 12 hours; in the ensuing months, most who weren't killed in the battle would be hunted down and killed.",Guamacaro region of Cuba,,
1825-09-25,"General Hendrik Merkus de Kock lifts the siege of Jogjakarta , the first major action of the Java War .",Java War,,
1825-10-07,"The Miramichi Fire , a forest fire, breaks out in New Brunswick (Canada).",New Brunswick,,
1825-12-09,The British began the Siege of Bharatpur .,Bharatpur,,
1826-01-18,"In India, the Siege of Bharatpur ends in British victory as Lord Combermere and Michael Childers defeat the princely state of Bharatpur , now part of the Indian state of Rajasthan . Grant, James (1885). British battles on land and sea . p. 575.",British victory as Lord Combermere and Michael Childers defeat the princely state of Bharatpur,,
1826-02-24,"The Treaty of Yandabo ends the First Anglo-Burmese War . Britain gains Assam , Manipur, Rakhine and Tanintharyi .",Yandabo ends the First Anglo-Burmese War,,
1826-03-07,"Ellen Turner, a wealthy 15-year-old heiress from Cheshire in England, is kidnapped by Edward Gibbon Wakefield . On May 14, Wakefield, his brother and a servant are sentenced to three years' imprisonment for the crime. Wakefield later becomes politically active in the colonisation of New Zealand.",England,,
1826-04-10,The Third Siege of Missolonghi ends and is followed by the massacre of thousands of Greek defenders by the Ottoman besiegers.,Missolonghi ends and is followed by the massacre of thousands of Greek defenders by the Ottoman besiegers,,
1826-06-21,Greek War of Independence : The attempted Ottoman–Egyptian invasion of Mani begins.,Independence,,
1826-12-16,"Benjamin W. Edwards rides into Mexican-controlled Nacogdoches, Texas , and declares himself ruler of the Republic of Fredonia .",Republic of Fredonia,,
1827-02-20,Battle of Ituzaingó (Passo do Rosário): A Brazilian Imperial Army force is tactically defeated on the border of Brazil and the United Provinces of the Río de la Plata by Argentine and Uruguayan troops.,,,
1827-04-08,Battle of Monte Santiago : A squadron of the Brazilian Imperial Navy defeats Argentine vessels after a two-day naval battle.,Brazilian Imperial Navy defeats Argentine vessels after a two-day naval battle,,
1827-04-24,Greek War of Independence : Battle of Phaleron – Ottoman troops defeat the Greek rebels.,Independence,,
1827-05-20,"Zarafa , the first giraffe to be seen in Europe for over three centuries, arrives in Marseille as a gift from the Ottoman Viceroy of Egypt , Mehmet Ali Pasha , to King Charles X of France . The giraffe then begins a 50-day journey to Paris , walking with its handlers toward Paris where it will arrive on July 9.",Europe for over three centuries,,
1827-07-06,"Greek War of Independence : The Treaty of London between France, Britain and Russia, demands that the Turks agree to an armistice in Greece .",Greece,,
1827-09-04,"The Great Fire of Turku destroys three-quarters of the city (at this time Finland 's largest), with 27 human casualties.",Turku destroys three-quarters of the city,,
1827-09-30,"Greek War of Independence : Battle of Itea , a naval battle fought in the Gulf of Corinth .",Gulf of Corinth,,
1827-10-01,"Russo-Persian War, 1826–1828 : The Russians under Ivan Paskevich storm Yerevan , ending a millennium of Muslim domination in Armenia .",Armenia,,
1827-10-20,"Greek War of Independence : Battle of Navarino – British , French and Russian naval forces destroy the Turko -Egyptian fleet in Greece . This is the last naval action to be fought under sail alone.",Greece,,
1828-02-10,""" Black War "": In the Cape Grim massacre – About 30 Aboriginal Tasmanians gathering food at a beach are probably ambushed, shot with muskets and killed by four indentured ""servants"" (or convicts) employed as shepherds for the Van Diemen's Land Company as part of a series of reprisal attacks, with the bodies of some of the men thrown from a 60 metre (200 ft) cliff.",Cape Grim massacre,,
1828-04-26,"Russia declares war on the Ottoman Empire, beginning the Russo-Turkish War . The Treaty of Commerce and Navigation is signed between Brazil and Denmark , establishing diplomatic relations between the two countries.",Commerce and Navigation is signed between Brazil and Denmark,,
1828-06-03,Gran Colombia–Peru War : Gran Colombia's President Simón Bolívar declares war on Peru.,,,
1828-06-23,"King Miguel I of Portugal overthrows his niece, Queen Maria II , beginning the Liberal Wars .",Portugal overthrows his niece,,
1828-08-27,"In South America, the Empire of Brazil and United Provinces of the Río de la Plata (modern-day Argentina ) recognize the independence of Uruguay , causing the end of the Cisplatine War . Simón Bolívar declares himself dictator of Gran Colombia.",Brazil and United Provinces of the,,
1828-08-28,"Russian forces succeed in the Battle of Akhaltsikhe against the Ottomans, capturing the fortress after an 8-day siege.",Battle of Akhaltsikhe against the Ottomans,,
1828-09-17,"1828 Siebold typhoon : A typhoon kills approximately 10,000 people in Kyūshū , Japan.",,,
1828-09-29,Russo-Turkish War (1828–29) : Varna is taken by the Russian army.,,,
1828-11-11,Greek War of Independence : the London Protocol entails the creation of an autonomous Greek state under Ottoman suzerainty encompassing the Morea and the Cyclades .,Independence,,
1828-11-12,"Anouvong , ruler of the Kingdom of Vientiane , is deposed and the kingdom is annexed by Siam. During the war, the city of Vientiane is obliterated by Siamese forces.",Kingdom of Vientiane,,
1828-12-01,"Decembrist revolution (Argentina) : Juan Lavalle , returning to Buenos Aires with troops that fought in the Cisplatine War , deposes the provincial governor Manuel Dorrego , reigniting the Argentine Civil Wars .",Cisplatine War,,
1828-12-20,"The U.S. State of Georgia legislature charters the Medical Academy of Georgia, which becomes the Medical College of Georgia , and authorizes it to award a Bachelor of Medicine degree, making it the 13th oldest U.S. medical school and the sixth public medical school to be established.",Georgia legislature charters the Medical Academy of Georgia,,
1828-12-28,"The province of Echigo , Japan, is hit by a 6.8 magnitude earthquake, killing more than 1,500 people.",Echigo,,
1829-02-27,Battle of Tarqui : Troops of Gran Colombia and Peru battle to a draw.,Tarqui,,
1829-03-22,"Greece receives autonomy from the Ottoman Empire in the London Protocol , signed by Russia , France and Britain, effectively ending the Greek War of Independence . Greece continues to seek full independence through diplomatic negotiations with the three Great Powers.",London Protocol,,
1829-07-02,"Russo-Turkish War (1828–29) : Russian Field-Marshal Hans Karl von Diebitsch launches the Trans-Balkan Offensive, which brings the Russian army within 68 kilometres (42 mi) of Istanbul .",Istanbul,,
1829-09-14,"The Ottoman Empire signs the Treaty of Adrianople with Russia, ending the Russo-Turkish War .",Adrianople with Russia,,
1830-02-03,"The London Protocol establishes the full independence and sovereignty of Greece from the Ottoman Empire , as the result of the Greek War of Independence .",Greek War of Independence,,
1830-02-05,"A fire destroys the Argyll Rooms in London , where the Philharmonic Society of London presents concerts, but firefighters are able to prevent its further spread by use of their new equipment, steam-powered fire engines.",London,,
1830-03-28,The Java War ends.,,,
1830-06-12,"7.5 magnitude earthquake kills more than 7,400 people in the Chinese province of Hebei .",Chinese province of Hebei,,
1830-11-29,The Polish November Uprising begins in Warsaw against Russian rule.,Warsaw against Russian rule,,
1831-02-14,"Battle of Debre Abbay : Ras Marye of Yejju marches into Tigray , and defeats and kills the warlord Sabagadis .",Debre Abbay,,
1831-02-25,Battle of Olszynka Grochowska (Grochów) : Polish rebel forces divide a Russian army.,Olszynka Grochowska,,
1831-05-26,Battle of Ostrołęka : The Poles fight another indecisive battle.,,,
1831-06-21,"The North Carolina State House and Canova 's George Washington are destroyed by fire in Raleigh, North Carolina .",Raleigh,,
1831-09-08,Battle of Warsaw : The Army of Russia takes the Polish capital after a two-day battle to crush the Polish uprising.,Warsaw,,
1831-11-22,"First Canut Revolt : After a bloody battle with the military causing 600 deaths, rebellious silk workers seize Lyon , France.",,,
1832-04-06,The Black Hawk War begins in the United States.,United States,,
1832-05-10,"The Egyptians , aided by Maronites , seize Acre from the Ottoman Empire after a 7-month siege .",,,
1832-05-11,Greece is recognized as a sovereign nation; the Treaty of Constantinople ends the Greek War of Independence in July .,July,,
1832-07-09,The Commissioner of Indian Affairs post is created within the United States Department of War .,Indian Affairs post is created within the United States Department of War,,
1832-08-02,The Bad Axe Massacre ends the last major Native American rebellion east of the Mississippi in the United States.,United States,,
1832-08-27,"Black Hawk (Sauk leader) surrenders to the United States authorities, ending the Black Hawk War .",,,
1832-12-04,"Siege of Antwerp : The last remaining Dutch stronghold, Antwerp Citadel , comes under French attack in the aftermath of the Belgian Revolution .",Belgian Revolution,,
1832-12-21,Battle of Konya : The Egyptians defeat the main Ottoman army in central Anatolia .,Konya,,
1832-12-23,The Siege of Antwerp ends with the Dutch garrison losing the citadel.,Antwerp ends with the Dutch garrison losing the citadel,,
1833-04-01,"General Antonio López de Santa Anna is elected President of Mexico by the legislatures of 16 of the 18 Mexican states. During his frequent absences from office to fight on the battlefield, Santa Anna turns the duties of government over to his vice president, Valentín Gómez Farías .",Mexico by the legislatures of 16 of the 18 Mexican states,,
1833-06-29,An earthquake at Fort Nisqually is experienced by William Fraser Tolmie ; his journal entry records the first written eyewitness account of an earthquake in the Puget Sound region.,Puget Sound region,,
1833-07-05,"Liberal Wars : The forces of Queen Maria II of Portugal win the Battle of Cape St. Vincent , defeating the supporters of her uncle, King Miguel , who usurped the throne in 1828.",Queen Maria II of Portugal win the Battle of Cape St,,
1833-07-14,"At Oxford University, John Keble preaches a sermon against the Church Temporalities (Ireland) Act 1833 . Keble's sermon, published afterwards published as National Apostasy , is traditionally considered as the beginning of the Oxford Movement of High Church Anglicans .",Oxford Movement of High Church Anglicans,,
1833-09-06,"At least 6,000 people are killed when an 8.0 magnitude earthquake shakes the Chinese province of Yunnan destroying buildings, homes and temples.",Yunnan destroying buildings,,
1833-09-29,"Three-year-old Isabella II becomes Queen of Spain, under the regency of her mother, Maria Christina of the Two Sicilies . Her uncle Don Carlos, Conde de Molina challenges her claim, beginning the First Carlist War .",Two Sicilies,,
1833-11-25,An 8.7 magnitude earthquake strikes Sumatra in what is now Indonesia .,,,
1834-07-24,The Liberal Wars end in Portugal.,Portugal,,
1834-10-16,"The Palace of Westminster is destroyed by fire , along with both the House of Commons and the House of Lords (which are not in session) of the British Parliament. An investigation later traces the disaster to an order from the Exchequer to the Board of Works to destroy the tally sticks that had been stored as part of record keeping, the use of the furnaces beneath the House of Lords to carry out the task, and the failure of authorities to stop the work or to fight the fire after smoke had first been detected, the conclusion being that the fire was ""wholly attributable to carelessness and negligence.""",British Parliament,,
1834-12-11,The Sixth Xhosa War is characterized by severe clashes between white settlers and Bantu peoples in Cape Colony ; Dutch-speaking settlers colonize the area north of Orange River .,Cape Colony,,
1835-02-20,"1835 Concepción earthquake : Concepción, Chile , is destroyed by an earthquake. The resulting tsunami destroys the neighboring city of Talcahuano .",Talcahuano,,
1835-09-20,"The Ragamuffin War begins in Rio Grande do Sul , Brazil .",Rio Grande do Sul,,
1835-10-02,"The Texas Revolution – Battle of Gonzales : Mexican soldiers attempt to disarm the people of Gonzales, Texas , but encounter stiff resistance from a hastily assembled militia.",Gonzales,,
1835-12-16,"The Great Fire of New York begins and lasts until the next day, destroying 530 buildings, including the New York Stock Exchange .",New York begins and lasts until the next day,,
1835-12-28,"The Second Seminole War , led by Seminole Chief Osceola breaks out in the U.S. state of Florida.",U,,
1836-02-23,"Texas Revolution : The Battle of the Alamo begins, with an American settler army surrounded by the Mexican Army, under Santa Anna .",Alamo begins,,
1836-02-25,"Samuel Colt receives a United States patent for the Colt revolver , the first revolving barrel multishot firearm.",,,
1836-03-06,"Texas Revolution : The Battle of the Alamo ends. At least 182 Texan settler soldiers die in a struggle against more than 2,000 Mexican soldiers.",Alamo ends,,
1836-04-21,"Texas Revolution – Battle of San Jacinto : Mexican forces under General Antonio López de Santa Anna are defeated at San Jacinto , Texas .",San Jacinto,,
1836-05-19,"Fort Parker massacre : Among those captured by Native Americans is 9-year-old Cynthia Ann Parker . She later gives birth to a son named Quanah , who becomes the last chief of the Comanche .",Comanche,,
1836-12-30,"In Saint Petersburg , the Lehman Theater catches fire, killing 800 people.",,,
1837-01-01,The destructive Galilee earthquake causes thousands of deaths in Ottoman Syria .,Ottoman Syria,,
1837-04-24,"The great fire in Surat , a city of India, begins. Over a three-day period, the fire kills more than 500 people and destroys more than 9,000 houses.",Surat,,
1837-08-16,"The Dutch colonial forces sack the fortress of Bonjol, Indonesia, ending the Padri War .",Bonjol,,
1837-09-19,"First Carlist War : Battle of Aranzueque – The liberal forces loyal to Queen Isabel II of Spain are victorious, ending the Carlist campaign known as the Expedición Real .",Aranzueque,,
1837-09-26,"The destructive "" Racer's hurricane "" sweeps across the Caribbean , northeastern Mexico , the Republic of Texas and the Gulf Coast of the United States and lasts until October 9 , after killing at least 105 people.",United States and lasts until October 9,,
1837-10-13,The French army under Sylvain Charles Valée captures the city of Constantine in French Algeria after a siege of three days.,French Algeria after a siege of three days,,
1837-11-07,"American abolitionist and newspaper editor Elijah Lovejoy is killed by a pro- slavery mob, at his warehouse in Alton, Illinois .",Alton,,
1837-11-17,"An earthquake in Valdivia , south-central Chile, causes tsunamis that led to significant destruction along Japan's coast.",Valdivia,,
1837-12-17,"Fire breaks out in the Winter Palace , in Saint Petersburg , Russia killing 30 guards.",Winter Palace,,
1838-01-10,A fire destroys Lloyd's Coffee House and the Royal Exchange in London.,London,,
1838-01-23,"A 7.5 earthquake strikes the Romanian district of Vrancea causing damage in Moldavia and Wallachia , killing 73 people.",Moldavia and Wallachia,,
1838-02-06,"Boer explorer Piet Retief and 60 of his men are massacred by King Dingane kaSenzangakhona of the Zulu people , after Retief accepts an invitation to celebrate the signing of a treaty, and his men willingly disarm as a show of good faith.",Zulu people,,
1838-02-17,"Weenen massacre : Zulu impis massacre about 532 Voortrekkers , Khoikhoi and Basuto around the site of Weenen in South Africa.",South Africa,,
1838-03-13,"A combination of rain and melting snow causes the Danube River to overflow its banks, washing away villages in western Hungary and inundating the twin cities that become Budapest . More than 150 people are drowned and Europe's nations come to Hungary's aid to prevent the spread of famine and disease.",,,
1838-06-10,Myall Creek massacre : 28 Indigenous Australians are killed.,,,
1838-10-01,"First Carlist War – Battle of Maella : Supporters of Infante Carlos, Count of Molina , are victorious.",Maella,,
1838-10-05,"Killough massacre , believed to be both the largest and last Native American attack on white settlers in East Texas . 18 casualties are either killed or carried away.",East Texas,,
1838-11-03,The Bombay Times and Journal of Commerce is founded (renamed The Times of India in 1861 ).,Commerce is founded,,
1838-11-27,Pastry War : Mexico is invaded by French forces.,,,
1838-12-16,Battle of Blood River : The Boers win a decisive victory over the Zulus .,Blood River,,
1839-01-06,Night of the Big Wind : Ireland is struck by the most damaging cyclone in 300 years.,Big Wind,,
1839-01-20,"Battle of Yungay : Chile defeats the Peru–Bolivian Confederation , leading to the restoration of an independent Peru .",Yungay,,
1839-05-23,"Turkish troops cross the Euphrates River and invade Syria, but are defeated in battle in June.",,,
1839-06-03,"Destruction of opium at Humen begins, casus belli for Britain to open the 3-year First Opium War against Qing dynasty China. A rapid rise in the sale of opium in China to over 40,000 chests (~56,000 kilograms (123,000 lb) per annum) has caused the Chinese government to dispatch scholar-official Lin Zexu to Guangzhou to deal with the growing problem of opium addiction .",Humen begins,,
1839-07-23,First Anglo-Afghan War : Battle of Ghazni – British forces capture the fortress city of Ghazni in Afghanistan .,Afghanistan,,
1839-08-31,"The First Carlist War (Spain) ends with the Convenio de Vergara , also known as the Abrazo de Vergara (""the embrace in Vergara""; Bergara in Basque), between liberal general Baldomero Espartero, Count of Luchana and Carlist General Rafael Maroto.",Luchana and Carlist General Rafael Maroto,,
1839-09-04,Battle of Kowloon : British vessels open fire on Chinese war junks enforcing a food sales embargo on the British community in China in the first armed conflict of the First Opium War .,China in the first armed conflict of the First Opium War,,
1839-11-04,"Newport Rising : Between 5,000 and 10,000 Chartist sympathisers march on Newport, Monmouthshire , to liberate Chartist prisoners; around 22 are killed when troops fire on the crowd. This is the last large-scale armed civil rebellion against authority in mainland Britain and sees the most deaths.",,,
1839-11-25,"A disastrous cyclone hits India with terrible winds and a giant 40-foot storm surge , wiping out the port city of Coringa ; 300,000 people die.",Coringa,,
1840-06-18,"Maria massacre : British brigantine Maria is wrecked off South Australia . All 26 passengers and crew make it to the shore but none survive the trek to safety over the following two weeks, most being massacred by Aboriginal Australians .",South Australia,,
1840-08-19,The Battle of the Barrier .,Barrier,,
1840-09-10,"Ottoman and British troops bombard Beirut , and land troops on the coast, to pressure Egyptian Muhammad Ali to retreat from the country.",,,
1841-01-27,"The active volcano Mount Erebus in Antarctica is discovered, and named by James Clark Ross .",Antarctica is discovered,,
1841-01-30,"El Salvador proclaims itself an independent republic, bringing an end to the Federal Republic of Central America . A fire destroys two-thirds of the city of Mayagüez, Puerto Rico .",Central America,,
1841-10-10,First Opium War : Battle of Chinhai – British capture a Chinese garrison.,Chinhai,,
1841-10-13,First Opium War: British occupy Ningbo .,,,
1841-10-30,A fire at the Tower of London destroys its Grand Armoury and causes a quarter of a million pounds' worth of damage.,Tower of London destroys its Grand Armoury and causes a quarter of a million pounds' worth of damage,,
1841-12-23,"First Anglo-Afghan War : At a meeting with the Afghan general Akbar Khan , British diplomat Sir William Hay Macnaghten is shot dead at close quarters.",,,
1842-01-06,"13 – First Anglo-Afghan War – Massacre of Elphinstone's army (Battle of Gandamak): British East India Company troops are destroyed by Afghan forces on the road from Kabul to Jalalabad , Afghanistan , by Akbar Khan , son of Dost Mohammad Khan .",Elphinstone's army,,
1842-02-07,"Battle of Debre Tabor : Ras Ali Alula , Regent of the Emperor of Ethiopia , defeats warlord Wube Haile Maryam of Semien .",Emperor of Ethiopia,,
1842-04-13,First Anglo-Afghan War : Battle of Jellalabad – British troops are victorious.,Jellalabad,,
1842-05-05,8 – The Great fire of Hamburg in Germany destroys around one-third of the city centre and kills 51.,Germany destroys around one-third of the city centre and kills 51,,
1842-05-08,"Versailles rail accident : A train traveling between Versailles and Paris, France derails, due to a broken locomotive axle, and catches fire, killing at least 55 passengers in the locked carriages.",,,
1842-06-04,"In South Africa, hunter Dick King rides into a British military base in Grahamstown , to warn that the Boers have besieged Durban (he had left 11 days earlier). The British army dispatches a relief force.",Grahamstown,,
1842-08-14,American Indian Wars : United States general William J. Worth declares the Second Seminole War to be over.,,,
1842-08-29,"The Treaty of Nanking , an unequal treaty between the United Kingdom and Qing dynasty China, ends the First Opium War , and establishes Hong Kong as a British colony (later a British dependent territory until 1997 ).",Nanking,,
1842-09-16,17 – The Treaty of Chushul ends the Dogra–Tibetan war (Sino-Sikh War).,Chushul ends the,,
1842-10-29,The Iberian Peninsula is struck by a category 2 hurricane .,,,
1842-11-26,"The University of Notre Dame in Notre Dame, Indiana (United States) is established by Father Edward Sorin , of the Roman Catholic Congregation of Holy Cross .",Notre Dame,,
1843-02-03,"Uruguayan Civil War : Argentina supports Oribe of Uruguay , and begins a siege of Montevideo .",Uruguay,,
1843-02-08,"The 1843 Guadeloupe Earthquake hits the Caribbean island of Guadeloupe , killing 1,500–5,000 people.",Guadeloupe,,
1843-03-24,"Battle of Hyderabad : The Bombay Army , led by Major General Sir Charles Napier , defeats the Talpur Mirs , securing Sindh as a province of British India .",Hyderabad,,
1844-06-12,"In the United States, after nine days of heavy rains, the Missouri River and the Mississippi River overflow their banks as the Great Flood of 1844 begins. The water begins to recede by June 28 and the rivers return to their normal level by mid-July.",,,
1844-08-14,Abdelkader El Djezairi is defeated at the Battle of Isly in Morocco ; sultan Abd al-Rahman of Morocco soon repudiates his ally.,Morocco,,
1844-10-18,1844 Salta earthquake . A magnitude 6.5 earthquake hits Argentina 's Salta Province .,,,
1845-03-11,"The New Zealand Wars open with the Flagstaff War . Chiefs Kawiti and Hōne Heke lead 700 Maoris in the burning of the British colonial settlement of Kororareka (modern-day Russell, New Zealand ).",British colonial settlement of Kororareka,,
