date,event
1752-02-29,"Alaungpaya, a village chief in Upper Burma, founds the Konbaung Dynasty; by the time of his death 8 years later, he will have unified the whole country."
1752-03-14,"Shō Kei, the ruler of Okinawa Island and the Ryukyu Kingdom, dies at the age of 41 after a reign that began when he was 13 years old. He is succeeded by his 12-year-old son, Shō Boku, who reigns for 42 years."
1752-03-18,"The electors of the Republic of Venice (which includes not only a large part of northern Italy around the city of Venice, but portions of Eastern Europe along the Adriatic Sea) elect Francesco Loredan as their new executive, the Doge. Loredan's election comes 11 days after the death of the previous Doge, Pietro Grimani, but is not announced until after Easter Sunday."
1752-03-23,"The Halifax Gazette, the first Canadian newspaper, is published."
1752-03-23,"Ava, capital of the Kingdom of Burma, is sacked by Hanthawaddy Kingdom, led by King Binnya Dala."
1752-04-06,"Spanish Governor Tomás Vélez Cachupín of Santa Fe de Nuevo México, a province that now comprises most of the American state of New Mexico, begins the first peace negotiations with the indigenous Comanche tribe after inviting tribal representatives to his home in Taos. As a sign of good faith, he unconditionally releases the four Comanche prisoners of war held at Taos. One of the released Comanches reports to his father, Chief Guanacante, about the hospitality extended to him during his imprisonment, and more meetings take place in July and in the autumn."
1752-04-12,"The Real Academia de Bellas Artes de San Fernando, Spain's Royal Academy of the Fine Arts, is formally established in Spain, eight years after first being proposed to King Fernando VI by Jeronimo Antonio Gil as a small school in Madrid. The foundation of the Royal Academy is considered by historians to be ""an essential step in modernizing Spain"" during the Spanish Enlightenment."
1752-04-12,"The Kingdom of Afghanistan, under the rule of Ahmad Shah Durrani, recaptures the city of Lahore four years after its capture by the Sikhs of Punjab."
1752-04-13,"The oldest property insurance company in the United States, "" Philadelphia Contributionship for the Insurance of Houses from Loss by Fire"", holds its organizational meeting at the courthouse in Philadelphia to elect a board of directors, largely through the efforts of Benjamin Franklin. Franklin's newspaper, The Pennsylvania Gazette, has been advertising the meeting since February 18, with a notice that ""All persons inclined to subscribe to the articles of insurance of houses from fire, in or near this city, are desired to appear at the Court-house, where attendance will be given, to take in their subscriptions, every seventh day of the week, in the afternoon, until the 13th of April next, being the day appointed by the said articles for electing twelve directors and a treasurer."" The property insurance company is still in existence more than 250 years later."
1752-04-22,"Adam Smith, appointed the year before as a professor of logic, is unanimously elected by the faculty of the University of Glasgow to be the new Professor of Moral Philosophy ""on the express condition that he would content himself with the emoluments of the Logic Professorship until 10 October"", in that the 1751-1752 salary budgeted for the job has already been distributed to faculty members who had substituted for the previous moral philosophy professor, Thomas Craigie; from April to October, Smith's remuneration for teaching moral philosophy is limited to fees paid directly to him by his students (a half guinea per semester for the public class, and a guinea per semester for the private class). Smith's lectures on ethics are first published in 1759 in his work The Theory of Moral Sentiments."
1752-05-10,"At Marly-la-Ville in France, physicist Thomas-François Dalibard successfully conducts the kite experiment proposed by Benjamin Franklin in the 1750 book Franklin's Experiments and Observations on Electricity."
1752-05-10,"Benjamin Franklin reportedly carries out his famous kite experiment, duplicating experiments that show that lightning and electricity are the same. According to Franklin, lightning strikes the kite that he is flying during a thunderstorm and produces sparks identical to what he has previously generated artificially in a Leyden jar. However, the report of his experiment is not made until October 19, in Franklin's newspaper, The Pennsylvania Gazette, leading 20th century researchers to doubt that he conducted the experiment, if at all, until sometime after September 28, when he had written in the Gazette about other such experiments, and that he was making a claim that he had conceived the experiment independently."
1752-06-03,"A fire destroys 13,000 houses in Moscow in the Russian Empire, only 11 days after a May 23 fire destroyed 5,000 homes; by June 6, two-thirds of the city has been damaged or destroyed."
1752-06-13,"The Treaty of Logstown is signed by representatives of the Iroquois Confederation, Lenape and Shawnee leaders, and commissioners from Virginia, headed by Joshua Fry. Christopher Gist and William Trent represent the Ohio Company. The treaty grants control over lands south and east of the Ohio River to the English, along with permission to build a fort on the site of what is now Pittsburgh."
1752-06-21,"Pickawillany (now Piqua, Ohio), the capital of the Miami Indian nation, is attacked and burned by Odawa, Ojibwe and French soldiers under the command of Odawa War Chief Charles Michel de Langlade."
1752-07-01,"In Istanbul, Divitdar Mehmed Emin Pasha is dismissed from his position as Grand Vizier of the Ottoman Empire by the Ottoman Sultan, Mahmud I. The Sultan appoints Çorlulu Ali Pasha as the new Grand Vizier."
1752-07-30,"The first of the Kronstadt canals, conceived by Peter the Great and designed to link two of the harbors of the Russian city, is completed and opened to maritime traffic."
1752-08-03,"Edward Cornwallis, the British Governor of Nova Scotia, is recalled to Britain after being unsuccessful in pressuring Nova Scotia's Acadian population to take an oath of allegiance to the Crown or to face expulsion. His replacement, Peregrine Hopson, is more lenient with the Acadians but is reassigned less than two years later."
1752-08-21,"A group of Scottish Presbyterians who had fled to America from Scotland held the first Covenanter communion in the 13 American colonies, meeting in New Kingstown, Pennsylvania."
1752-08-25,"The first group of the United Brethren church, commonly called the Moravians, leaves Bethlehem, Pennsylvania on a mission to find 100,000 acres (40,000 ha) of land on which to build ""Villages of the Lord"" for German emigres to settle upon in America; after a 450-mile (720 km) journey, they arrive in Edenton, North Carolina on September 10 and eventually purchase the Wachovia Tract, a set of lands in the western North Carolina colony."
1752-09-02,"Great Britain and the British Empire use the Julian calendar for the last time and adopt the Gregorian calendar, making the next day Thursday, September 14 in the English-speaking world. A newspaper at the time notes the next day that ""Altho' we have more than once, for the Information of our Readers, publish'd some Accounts of the Alteration of the Style, which took Place this Day, agreeable to a late Act of Parliament, in all his Majesty's Dominions in Europe, Asia, Africa and America"" and notes that ""The Supputation of the Year began on the first Day of January last, and for the future the first Day of that Month will be stiled the first Day of every Year in all Accounts whatsoever, which Supputation or Reckoning never took Place before this Year in any Courts of Law until the 25th Day of March"", and adds, ""This Day, had not this Act passed, would have been the 3rd of September, but is now reckoned the 14th, eleven nominal Days being omitted."""
1752-10-19,"— In his Philadelphia newspaper, the Pennsylvania Gazette, Benjamin Franklin first describes the performance, in Philadelphia of the kite experiment that he had proposed in his 1750 book. Although the original account makes no claim that he was the first to do the experiment (which had been done by other scientists (including Thomas-François Dalibard in May), nor that he conducted the test, and it does not give a date for the experiment, it becomes embellished as the story that Franklin ""discovered electricity""; in 1766, the story first circulates that Franklin flew the kite in June, 1752, without specifying a date (as Franklin had done in other scientific accounts)."
1752-11-03,"A hurricane destroys the Spanish settlement on Florida's Santa Rosa Island, leaving only two buildings standing; the remaining residents decide to move from the barrier island on the Gulf of Mexico and to start a settlement on the nearby mainland and construct the Presidio San Miguel de Panzacola, which later forms the nucleus of the city of Pensacola, Florida."
1752-11-08,"British Governor Hopson of Nova Scotia and French Governor General of New France, the Marquis Duquesne, agree to a free exchange of deserters from each other's armies in Canada, with the understanding that neither side will execute a deserter once returned."
1752-11-22,""" Father Le Loutre's War "", the war between the British Canadian colonists of Nova Scotia and the indigenous Mi'kmaq (Micmac) tribe halts temporarily when a peace treaty is signed between the warring parties at Shubenacadie, Nova Scotia. Governor Hopson, accompanied by former Governor Cornwallis, signs on behalf of the British and Chief Kopit (Jean-Baptiste Cope), the Sakamaw of the Mi'kmaq, signs on behalf of his people."
1752-12-05,"The first presentation of a Shakespearean play in America is performed when a company of players stages The Merchant of Venice in Williamsburg, Virginia."
1753-01-03,"King Binnya Dala of the Hanthawaddy Kingdom orders the burning of Ava, the former capital of the Kingdom of Burma."
1753-01-29,"After a month's absence, Elizabeth Canning returns to her mother's home in London and claims that she was abducted; the following criminal trial causes an uproar."
1753-02-17,"The concept of electrical telegraphy is first published in the form of a letter to Scots' Magazine from a writer who identifies himself only as ""C.M."". Titled ""An Expeditious Method of Conveying Intelligence"", C.M. suggests that static electricity (generated by 1753 from ""frictional machines"") could send electric signals across wires to a receiver. Rather than the dot and dash system later used by Samuel F.B. Morse, C.M. proposes that ""a set of wires equal in number to the letters of the alphabet, be extended horizontally between two given places"" and that on the receiving side, ""Let a ball be suspended from every wire"" and that a paper with a letter on it be underneath each wire."
1753-03-01,"Sweden adopts the Gregorian calendar, by skipping the 11 days difference between it and the Julian calendar, and letting February 17 be followed directly by March 1."
1753-04-16,"The Jewish Naturalisation Act 1753 is passed by Britain's House of Lords, permitting Jewish immigrants to England to become naturalized citizens ""without receiving the Sacrament of the Lord's Supper"". The bill, introduced by George Montagu-Dunk, 2nd Earl of Halifax, passes the House of Commons on May 22."
1753-05-01,Species Plantarum is published by Linnaeus (adopted by the International Code of Botanical Nomenclature as the formal start date of the scientific classification of plants).
1753-05-22,The Jewish Naturalisation Act 1753 passes the House of Commons and later receives royal assent from King George II.
1753-06-06,"The Parliament of Great Britain passes Lord Hardwicke 's Marriage Act ""for the Better Preventing of Clandestine Marriage"" in England and Wales. King George II adjourns Parliament the next day; the act comes into effect on March 25, 1754."
1753-06-07,"The British Museum is established in London, by Act of Parliament."
1753-07-07,"The Parliament of Great Britain's Jewish Naturalization Act receives royal assent, allowing naturalization to Jews; it is repealed in 1754."
1753-08-06,"Russian scientist Georg Richmann becomes the first person to be electrocuted by his own equipment after he uses an insulated, but improperly grounded, lightning rod in an attempt to gather data on a thunderstorm. Richmann also becomes the first victim of ball lightning during his scientific experiment, in an attempt to replicate the experiments of American Benjamin Franklin."
1753-08-07,"The Unity of Brethren, a branch of the Moravian Church, receives a grant the Wachovia Tract, 99,985 acres (404.62 km 2) of land (approximately 157 square miles), in western North Carolina, for the benefit of German-speaking immigrants to America. The area now includes Winston-Salem, North Carolina."
1753-08-21,"After receiving a series of warnings about incursions into land claimed by the Crown Colony of Virginia (from the colony's Lieutenant Governor, Robert Dinwiddie), the cabinet of British Prime Minister Henry Pelham votes to send a warning to Britain's colonial governors ""to prevent, by Force, These and any such attempts"" to encroach on their lands ""that may be made by the French, or by the Indians in the French interest."" Britain's Secretary of State for the Southern Department, the Earl of Holderness, sends the circular order on August 28."
1753-09-03,"Tanacharison, a chief of the Oneida people tribe that is one of the ""Six Nations"" of the Iroquois Confederacy, meets with French officers who have come into the Ohio and Allegheny region and warns them not to advance further into the Iroquois territory."
1753-09-18,"Britain's Board of Trade sends a directive to the colonial and provincial governors of Maryland, Massachusetts, New Hampshire, New Jersey, New York, and Pennsylvania ordering them to send delegates to a summit meeting with the Iroquois Confederacy. The message instructs the governors that King George II has ordered ""a Sum of Money to be issued for Presents to the Six Nations of Indians"" and ordering New York's Governor George Clinton ""to hold an Interview with them for delivering these Presents, for burying the Hatchet, and for renewing the Covenant Chain with them."""
1753-10-31,Virginia Lieutenant Governor Dinwiddie commissions 21-year-old militia Major George Washington to dissuade the French from occupying the Ohio Country.
1753-11-12,A fire destroys the Emperor's Palace in Moscow.
1753-11-12,"Spain 's King Fernando VI issues a set of 25 regulations and restrictions for theatrical performances, including a requirement that the directors of the acting troupes ""take the greatest care that the necessary modesty is preserved"" and that the actors should be reminded that chastity requires that ""indecent and provocative"" dances should be avoided."
1753-11-24,"José Alfonso Pizarro completes more than four years as the Spanish Viceroy of New Granada (which comprises modern-day Colombia, Venezuela and Ecuador) and is succeeded by José Solís Folch de Cardona."
1753-11-25,"The Russian Academy of Sciences announces a competition among chemists and physicists to provide ""the best explanation of the true causes of electricity including their theory"", with a deadline of June 1, 1755 (on the Julian calendar used in Russia, June 12 on the Gregorian calendar used in Western Europe and the New World)."
1753-12-11,"Major George Washington and British guide Christopher Gist arrive at Fort Le Boeuf (near modern-day Waterford, Pennsylvania and the city of Erie), a French fortress built in territory claimed by the British Crown Colony of Virginia. Washington presents the fort's commander, French Army Captain Jacques Legardeur de Saint-Pierre, a message from Virginia's Lieutenant Governor Dinwiddie advising that ""The lands upon the Ohio River are so notoriously known to be the property of the Crown of Great Britain that it is a matter of equal concern and surprise... to hear that a body of French fortresses and making settlements upon that river, within His Majesty's dominions,"" adding that ""It becomes my duty to require your peaceable departure."" Captain Legardeur provides a reply for Washington to take to Dinwiddie, declaring that the rights of France's King Louis XV to the land ""are incontestable"", and refuses to back down, leading to beginning of the French and Indian War in 1754."
1753-12-11,James Lind writes A Treatise of the Scurvy.
1753-12-11,"Robert Wood publishes The ruins of Palmyra; otherwise Tedmor in the desart in English and French, making the ancient Syrian city of Palmyra known to the West."
1753-12-11,"The Cramer family starts a brewing operation at Warstein in North Rhine-Westphalia, originating the Warsteiner brand."
1754-01-28,"Horace Walpole, in a letter to Horace Mann, coins the word serendipity."
1754-02-22,"Expecting an attack by Portuguese-speaking militias in the Viceroyalty of the Río de la Plata, the indigenous Guarani people residing in the Misiones Orientales stage an attack on a small Brazilian Portuguese settlement on the Rio Pardo in what is now the Brazilian state of Rio Grande do Sul. The attack by 300 Guarani soldiers from the missions at San Luis, San Lorenzo and San Juan Bautista is repelled with a loss of 30 Guarani and is the opening of the Guarani War"
1754-02-25,"Guatemalan Sergeant Major Melchor de Mencos y Varón departs the city of Santiago de los Caballeros de Guatemala with an infantry battalion to fight British pirates that are reportedly disembarking on the coasts of Petén (modern-day Belize), and sacking the nearby towns."
1754-03-16,"Ten days after the death of British Prime Minister Henry Pelham, his brother Thomas Pelham-Holles, 1st Duke of Newcastle, forms a government as the new Prime Minister of Great Britain."
1754-03-25,"The Clandestine Marriages Act 1753 comes into force in England and Wales, placing marriage in that jurisdiction on a statutory basis for the first time."
1754-04-30,Battle of San Felipe and the Cobá Lagoon: Guatemalan Sergeant Mayor Melchor de Mencos y Varón and his troops defeat the British pirates.
1754-05-14,The Royal and Ancient Golf Club of St Andrews is founded in Scotland.
1754-05-28,"French and Indian War: Battle of Jumonville Glen – The war begins when George Washington, 22, leads a company of militia from the Colony of Virginia, in an ambush on a force of 35 French Canadians."
1754-06-19,The Albany Congress of seven northern colonies proposes an American Union.
1754-07-03,"French and Indian War – Battle of Fort Necessity: George Washington surrenders Fort Necessity to French Capt. Louis Coulon de Villiers, the only surrender in Washington's military career."
1754-07-10,"The Albany Plan of Union is given official approval by the delegates from New York, Pennsylvania, Maryland, Rhode Island, New Hampshire and Massachusetts, with Connecticut opposing. The plan approved at the meeting in Albany, New York is based on Benjamin Franklin 's suggestions of ""a general union of the British colonies on the continent"" for a common defense policy. As amended at the assembly, the proposed union calls for the British Parliament to approve the arrangement, which would encompass all of the British North American colonies except for Georgia and Nova Scotia. The plan, to be considered by the individual colonies for ratification, provides for an inter-colonial legislature (the Grand Council) composed of between two and seven representatives for each colony, depending on population. It also provides for a ""President General"" who can veto Grand Council legislation, a common defense budget with colonies contributing proportionately to their representation, and an inter-colonial army whose officers would be selected by the Grand Council."
1754-07-17,"Classes begin at Columbia University, founded on October 31 as King's College by royal charter of King George II of Great Britain. The college is originally located in Lower Manhattan in the Province of New York. Instruction is suspended in 1776, and the school reopens in 1784 as Columbia College. With the college's growth in the 19th century, it is renamed Columbia University in 1896."
1754-08-06,"The British North American Province of Georgia is created. Originally established in 1732 as a place for impoverished English citizens and debt prison parolees to make a new life, is given its first royal government. Administered for 22 years by the Board of Trustees for the Establishment of the Colony of Georgia in America, chaired by philanthropist James Oglethorpe, the colony is transferred by the Trustees to the British crown's Board of Trade and Plantations. King George II, for whom the colony was named, follows the Board's recommendation by proclaiming Georgia a royal province, and appointing Royal Navy Captain John Reynolds as the first Royal Governor. Reynolds arrives in Savannah on October 29 to take office."
1754-08-17,"Pennsylvania becomes the first of the British colonies to address Benjamin Franklin's Albany Plan for an inter-colonial union. With Franklin absent from Philadelphia, Pennsylvania's House of Representatives votes against to not consider the Plan at all, and to not refer it to the next legislative session for debate."
1754-08-19,"Lieutenant Colonel George Washington is forced to confront his first mutiny as 25 members of his Virginia militia refuse to obey orders from their officers. Washington, who is attending church services at the time, quickly suppresses the rebellion and the mutineers are imprisoned before more join."
1754-08-30,"New Hampshire settlers Susannah Willard Johnson and her family are taken hostage by the Abenaki Indians during an attack near Charlestown. Nine months pregnant at the time of their capture, Johnson gives birth two days later to a child, whom she names Elizabeth Captive Johnson. For the next two years, the family is held for ransom in Canada before she is released. In 1796, she will recount the story in a popular memoir, A Narrative of the Captivity of Mrs. Johnson."
1754-09-02,"A powerful earthquake strikes Constantinople shortly after 9 o'clock in the evening. A Scottish physician, Mordach Mackenzie, reports in a letter that the tremor damaged or destroyed numerous buildings and comments, ""Some say there were 2000 people destroyed by this calamity, in the town and suburbs; some 900; and others reduce them to 60, who, by what I have seen, are nearer the truth."""
1754-09-11,"Anthony Henday, an English explorer, becomes the first white man to reach the Canadian Rockies, after climbing a ridge above the Red Deer River near what is now Innisfail, Alberta."
1754-10-24,China 's Qianlong Emperor reverses a longstanding policy that barred Chinese subjects from ever returning to China if they remained out of the country for more than three years.
1754-10-31,"What will become Columbia University is chartered as ""a College in the Province of New York... in the City of New York in America... named King's College"", with the charter submitted by New York's colonial governor, James De Lancey."
1754-11-28,"Denmark establishes the Renteskirverkontor, an office within the Chamber of Finance, to oversee the colonial affairs of the Danish West Indies (Dansk Vestindien). Peder Mariager, who had been a minor official of the Danish West Indies Company, becomes the first administrator. The colony, consisting of the islands of Saint Thomas, Saint John and Saint Croix later is purchased by the United States from Denmark and is now the U.S. Virgin Islands."
1754-11-29,"Karim Khan Zand, the King of Persia (now Iran) recaptures the city of Shiraz from Afghan warlord Azad Khan Afghan, who had taken control of much of central Iran since 1749."
1754-12-13,Osman III succeeds his brother Mahmud I as Ottoman Emperor; he will rule until his death in 1757.
1754-12-26,"Massachusetts becomes the third colony (after Pennsylvania and Connecticut) to reject the Albany Plan for an inter-colonial union, voting 48 to 31 to postpone consideration of the union question indefinitely."
1754-12-26,"Surveyor William Churton lays out what will become the seat of Orange County, North Carolina. The town is named Corbin Town for Francis Corbin, a member of the North Carolina governor's council. Corbin Town is renamed Childsburgh in 1759, and finally Hillsborough in 1766."
1754-12-26,"St. Florian's Martyr Greek Catholic Church, Budapest is built."
1754-12-26,Marian apparition at Las Lajas in Colombia.
1755-01-23,Moscow University is established.
1755-02-13,"Treaty of Giyanti: The kingdom of Mataram on Java is divided in two, creating the sultanate of Yogyakarta and the sunanate of Surakarta."
1755-03-12,A steam engine is used in the American colonies for the first time as New Jersey copper mine owner Arent Schuyler installs a Newcomen atmospheric engine to pump water out of a mineshaft.
1755-03-22,"Britain's House of Commons votes in favor of £1,000,000 of appropriations to expand the British Army and Royal Navy operations in North America."
1755-03-26,"General Edward Braddock and 1,600 British sailors and soldiers arrive at Alexandria, Virginia on transport ships that have sailed up the Potomac River. Braddock, sent to take command of the British forces against the French in North America, commandeers taverns and private homes to feed and house the troops."
1755-04-02,"A naval fleet, led by Commodore William James of the East India Company, captures Tulaji Angre's fortress Suvarnadurg from the Marathas."
1755-04-15,"A Dictionary of the English Language is published by Samuel Johnson (he had begun the work nine years earlier, in 1746)."
1755-05-03,"France dispatches 3,600 troops to protect its Canadian colonies in Quebec from a British invasion, dispatching 2,400 to Quebec city and 1,200 to Louisbourg in Nova Scotia, unaware that a squadron of 11 fully armed warships from Britain's Royal Navy had sailed toward Canada on April 27."
1755-05-17,"Spanish missionary Tomas Sanchez and three families establish a settlement on the north side of the Rio Grande in New Spain. Sanchez names it Villa de Laredo. The new settlement is the northernmost part of the colony of Nuevo Santander, founded by José de Escandón, 1st Count of Sierra Gorda, which now comprises parts of the Mexican state of Tamaulipas and the U.S. state of Texas. The portion of Villa de Laredo north of the river later becomes Laredo, Texas; the remaining portion south of the river is later renamed Nuevo Laredo, Tamaulipas."
1755-05-19,"General Braddock hosts Iroquois leaders Scaroyady, Kaghswaghtaniunt and Silver Heels at Fort Cumberland, the British Army base in the colony of Maryland. The three chiefs pledge their alliance with the British in advance of Braddock's expedition into the Ohio Country."
1755-05-22,"The Province of Massachusetts Bay sends 2,000 troops to supplement other British Army and colonial forces in Acadia; the troops anchor at Chignecto Bay on June 1."
1755-05-24,"France completes the construction of Fort Duquesne, its new base to the west of the British colony of Pennsylvania. The British capture the fort during the French and Indian War and rename it Fort Pitt. The site, at the junction of the Allegheny River and the Monongahela River, is now Pittsburgh."
1755-05-30,General Braddock's troops begin a difficult trek across the heavily wooded Allegheny Mountains from western Maryland into the Ohio country.
1755-06-05,"At the entrance of the Saint Lawrence River, a squadron of Royal Navy ships, under the command of British Admiral Edward Boscawen, intercepts the nine French ships dispatched to save Canada; seven of the nine ships are concealed by fog and are able to reach their destination; another of the transports escapes."
1755-06-05,"Scottish chemist Joseph Black describes his discovery of carbon dioxide (fixed air) and magnesium, in a paper to the Medical Society of Edinburgh. The paper is published in 1756 with the title Experiments upon Magnesia alba, Quicklime, and some other alkaline Substances."
1755-06-16,"After a two-week siege, the French commander of Fort Beauséjour in North America surrenders to the British, marking the end of "" Father Le Loutre's War ""."
1755-06-23,"Most of the French troops dispatched to Canada arrive at Quebec, along with the new Governor General of New France, Pierre de Rigaud, Marquis de Vaudreuil-Cavagnial."
1755-06-27,"Iyoas I becomes the new Emperor of Ethiopia upon the death of his father, Iyasu II"
1755-07-09,"French and Indian War – Braddock Expedition: British troops and colonial militiamen are ambushed and suffer a devastating defeat inflicted by French and Indian forces. During the battle, British General Edward Braddock is mortally wounded. Colonel George Washington survives."
1755-07-17,"In a convoy of ships from Great Britain, returning to India for the East India Company, the lead ship Doddington (on her third voyage) wrecks in Algoa Bay near modern-day Port Elizabeth in South Africa, losing 247 of its 270 passengers and crew, together with a chest of gold coins from Robert Clive worth £33,000. In 1998, 1,400 coins from the wreck site are offered for sale, and in 2002 a portion is given to the South African government. Around twenty survivors of the wreck are eventually able to make safety after an open boat voyage."
1755-07-25,"The decision to deport the Acadians is made, during meetings of the Nova Scotia Council meeting in Halifax. From September 1755-June 1763, the vast majority of Acadians are deported to one of the following British Colonies in America: Massachusetts, Connecticut, New York, Pennsylvania, Maryland, Virginia, North Carolina, South Carolina and Georgia. Contrary to popular belief, no Acadians are sent to Louisiana. Those sent to Virginia are refused and then sent on to Liverpool, Bristol, Southampton and Penryn in England. In 1758 the Fortress of Louisbourg falls and all of the civilian population of Isle Royal (Cape Breton Island) and Isle St. Jean (Prince Edward Island) are repatriated to France. Among them were several thousand Acadians, who had escaped the deportation by fleeing into those areas. Very few Acadians successfully escape the deportation and do so only by fleeing into some of the northern sections of present day New Brunswick. The event inspires Longfellow to write the epic poem Evangeline."
1755-08-10,"The Expulsion of the Acadians begins, with the Bay of Fundy Campaign."
1755-09-02,"A powerful hurricane strikes the east coast of the British colony of North Carolina, killing 150 people and sinking five British and colonial merchant ships at Portsmouth Island."
1755-09-06,"The Russian Academy of Sciences awards its prize for ""the best explanation of the true causes of electricity including their theory"" to Switzerland's Johann Euler for his paper Disquisitio de causa physica electricitatis."
1755-09-08,"French and Indian War – Battle of Lake George: French Army troops, led by Jean Erdman, Baron Dieskau, and Canadian colonists, led by Jacques Legardeur de Saint-Pierre, drive south into Britain's New York province. They are met by British Army troops under General William Johnson being supplemented by 200 Mohawk troops led by the Mohawk war chief, Theyanoguin. After Theyanouguin and other Mohawks are killed in the battle, the clan matrons of the Mohawk nation forbid the men from participating in the war against the French until a French defeat seems certain."
1755-09-16,"Sir Charles Hanbury-Williams, the new British Minister to Russia, secures an alliance signed by Empress Catherine the Great. The Russian Empire agrees to provide up to 55,000 troops to defend the Electorate of Hanover against invasion by Prussia. At the time, King George II of Great Britain is also the ruler of the German duchy; the Russian troops are provided in return for an annual payment of £600,000."
1755-09-17,"Jean-Marc Vacheron founds his watch-making company Vacheron Constantin. To this day, Vacheron Constantin is the oldest watchmaker in the world with an uninterrupted watchmaking history since its foundation."
1755-09-18,"Two slaves, Mark and Phyllis, are publicly executed for the poisoning murder of their master, John Codman in front of a large crowd outside the Middlesex County Courthouse in Cambridge, Massachusetts. Phyllis is burned to death. Mark's execution by hanging is made as an example to other African slaves in the Province of Massachusetts Bay. His body is transported to Charlestown Common in what is now Somerville and displayed on a gibbet for more than 20 years. In 1798, Paul Revere mentions in his memoir that his famous ride of April 18, 1775, started when he first spotted British Army officers at a site ""nearly opposite where Mark was hung in chains"", I saw two men on Horse back, under a Tree""."
1755-10-11,"In west Africa, officials of the Dutch West India Company sign a peace agreement with officials of the Ashanti Empire at Elmina. In return for an annual tribute in gold, the Ashanti maintain peaceful relations with the Europeans in the Dutch Gold Coast colony and the Dutch maintain their settlement at Fort Coenraadsburg. The area is now part of the Central Region of Ghana."
1755-10-12,"Having completed the Expulsion of the Acadians from St. John's Island (now Prince Edward Island), the British colonial Governor of Nova Scotia, Charles Lawrence, issues a proclamation that his office will receive proposals from English settlers ""for the peopling and cultivating as well of the lands vacated by the French, as every other part of this valuable province."""
1755-10-16,"The Penn's Creek massacre is carried out against white settlers who have moved into the Susquehanna Valley in the Pennsylvania colony, in territory also claimed by the Delaware Indians. The Delawares attack the Penn's Creek village, located near what is now Selinsgrove, Pennsylvania, and kill 25 of the 26 men, women and children living there."
1755-10-17,"The Mount Katla volcano erupts in Iceland and continues ejecting ash for the next 120 days, finally ceasing on February 13. An estimated 1.5 cubic kilometers (1.5 billion cubic meters or 53 billion cubic feet) of tephra is discharged by the volcano."
1755-10-25,"Yirmisekizzade Mehmed Said Pasha becomes the new Grand Vizier of the Ottoman Empire, the fifth person to serve as the Empire's Vizier in 1755."
1755-11-01,"More than 40,000 people are killed by the 8.5 magnitude earthquake in Lisbon, Portuguese Empire. The tremor begins at 9:40 in the morning local time off of the Atlantic coast of Portugal and sends a tsunami that strikes the coasts of Portugal, Spain and Morocco. November 1: Lisbon earthquake kills more than 40,000"
1755-11-18,"The Corsican Constitution is adopted by Corsican representatives, at the Consulta generale di Corte."
1755-11-18,"The 1755 Cape Ann earthquake occurs in the vicinity of Cape Ann, Massachusetts, causing extensive damage."
1755-11-25,King Ferdinand VI of Spain grants the Religious of the Virgin Mary in the Philippines royal protection.
1755-12-02,The second Eddystone Lighthouse off the coast of England is destroyed by fire.
1755-12-17,"Anton, Patriarch of the Georgian Orthodox Church, is dismissed by his opponents on the Ecclesiastical Council and briefly imprisoned for 18 months before being allowed to move to Russia; in 1764, Anton is again made the Georgian Orthodox Church's leader."
1755-12-17,"Wolsey, the clothes manufacturer, is established in Leicester, England; the business celebrates its 250th anniversary in 2005."
1755-12-17,"Construction of the Puning Temple complex in Chengde, China is completed, during the reign of the Qianlong Emperor."
1755-12-17,"The brine shrimp Artemia salina is first described, in Linnaeus ' Systema Naturæ."
1755-12-17,"Construction of St Ninian's Church, Tynet, Scotland, the country's oldest surviving post-Reformation Roman Catholic clandestine church, is completed."
1756-01-16,"The Treaty of Westminster is signed between Great Britain and Prussia, guaranteeing the neutrality of the Electorate of Hanover, controlled by King George II of Great Britain."
1756-01-27,"Wolfgang Amadeus Mozart is born in Salzburg, Austria, to Anna Maria and Leopold Mozart."
1756-02-07,"Guaraní War: The leader of the Guaraní rebels, Sepé Tiaraju, is killed in a skirmish with Spanish and Portuguese troops."
1756-02-10,"The massacre of the Guaraní rebels in the Jesuit reduction of Caaibaté takes place in Brazil after their leader, Noicola Neenguiru, defies an ultimatum to surrender by 2:00 in the afternoon. On February 7, Neenguiru's predecessor Sepé Tiaraju has been killed in a brief skirmish. As two o'clock arrives, a combined force of Spanish and Portuguese troops makes an assault on the first of the Seven Towns established as Jesuit missions. Defending their town with cannons made out of bamboo, the Guaraní suffer 1,511 dead, compared to three Spaniards and two Portuguese killed in battle."
1756-02-14,"Battle of Vijaydurg: The Maratha Navy, that has controlled the western coast of India for the Maratha Empire for more than a century, is destroyed by British attackers fighting for the East India Company. On orders of Royal Navy Admiral Charles Watson, the British capture a Maratha ship (the former British warship HMS Restoration), set it on fire, and then float the burning vessel into the Vijaydurg Port where most of Maratha Admiral Tulaji Angre's ships are anchored. The fire soon spreads to the other ships, destroying one large warship armed with 74 cannons, eight gurabs of 200 tonnes apiece, and sixty galbat ships."
1756-03-17,St. Patrick's Day is celebrated in New York City for the first time (at the Crown and Thistle Tavern).
1756-04-01,"Yirmisekizzade Mehmed Said Pasha resigns as Grand Vizier of the Ottoman Empire. He is replaced by Köse Bahir Mustafa Pasha, who has been Grand Vizier from 1752 to 1755."
